strut_id,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm,minimum_foreground_fraction
8121,0.203324,12.000,10.000,18.000,13.000,9.000,18.000,6.840,2.280,20.520,9.120,0.000,20.520,0.0
8137,0.200159,10.000,10.000,18.000,11.000,10.000,17.000,2.280,2.280,20.520,4.560,2.280,18.240,0.013536378741264343
8140,0.203357,12.000,10.000,18.000,12.000,9.000,17.000,6.840,2.280,20.520,6.840,0.000,18.240,0.018612521390120186
8146,0.198248,12.000,8.000,18.000,11.000,9.000,18.000,6.840,-2.280,20.520,4.560,0.000,20.520,0.0
8151,0.205521,12.000,9.000,17.000,11.000,9.000,18.000,6.840,0.000,18.240,4.560,0.000,20.520,0.0
8175,0.204812,10.000,9.000,17.000,9.000,9.000,18.000,2.280,0.000,18.240,0.000,0.000,20.520,0.003384094685316086
8181,0.203048,9.000,8.000,17.000,9.000,9.000,18.000,0.000,-2.280,18.240,0.000,0.000,20.520,0.0
8477,0.208400,0.000,10.000,16.000,1.000,10.000,15.000,-20.520,2.280,15.960,-18.240,2.280,13.680,0.0
8484,0.202077,0.000,10.000,16.000,0.000,9.000,15.000,-20.520,2.280,15.960,-20.520,0.000,13.680,0.0
8616,0.201068,8.000,9.000,13.000,9.000,10.000,13.000,-2.280,0.000,9.120,0.000,2.280,9.120,0.01692047342658043
8936,0.196473,0.000,9.000,11.000,1.000,10.000,11.000,-20.520,0.000,4.560,-18.240,2.280,4.560,0.0
8976,0.200991,16.000,10.000,10.000,15.000,9.000,10.000,15.960,2.280,2.280,13.680,0.000,2.280,0.0
9616,0.199931,17.000,8.000,3.000,18.000,9.000,3.000,18.240,-2.280,-13.680,20.520,0.000,-13.680,0.003384094685316086
10112,0.201873,16.000,8.000,18.000,15.000,7.000,18.000,15.960,-2.280,20.520,13.680,-4.560,20.520,0.015228426083922386
10120,0.202346,14.000,7.000,17.000,15.000,8.000,17.000,11.400,-4.560,18.240,13.680,-2.280,18.240,0.008460236713290215
10177,0.206253,8.000,8.000,18.000,9.000,8.000,17.000,-2.280,-2.280,20.520,0.000,-2.280,18.240,0.006768189370632172
10215,0.199254,8.000,7.000,17.000,7.000,7.000,18.000,-2.280,-4.560,18.240,-4.560,-4.560,20.520,0.025380710760752358
10260,0.195646,3.000,6.000,17.000,4.000,7.000,17.000,-13.680,-6.840,18.240,-11.400,-4.560,18.240,0.0
10340,0.202909,14.000,7.000,15.000,15.000,8.000,15.000,11.400,-4.560,13.680,13.680,-2.280,13.680,0.006768189370632172
10408,0.196848,9.000,6.000,15.000,10.000,7.000,15.000,0.000,-6.840,13.680,2.280,-4.560,13.680,0.006768189370632172
10651,0.201846,6.000,6.000,14.000,7.000,7.000,14.000,-6.840,-6.840,11.400,-4.560,-4.560,11.400,0.02876480482518673
10969,0.205034,16.000,8.000,10.000,17.000,7.000,10.000,15.960,-2.280,2.280,18.240,-4.560,2.280,0.030456852788726486
11091,0.211383,6.000,6.000,10.000,7.000,7.000,10.000,-6.840,-6.840,2.280,-4.560,-4.560,2.280,0.006768189370632172
11237,0.203225,12.000,8.000,8.000,13.000,7.000,8.000,6.840,-2.280,-2.280,9.120,-4.560,-2.280,0.03384094685316086
11801,0.201577,4.000,7.000,3.000,3.000,8.000,3.000,-11.400,-4.560,-13.680,-13.680,-2.280,-13.680,0.047377325594425194
12156,0.204706,13.000,4.000,17.000,14.000,5.000,17.000,9.120,-11.400,18.240,11.400,-9.120,18.240,0.005076142027974129
12328,0.199250,17.000,4.000,15.000,18.000,5.000,15.000,18.240,-11.400,13.680,20.520,-9.120,13.680,0.006768189370632172
12352,0.197377,15.000,4.000,15.000,16.000,5.000,15.000,13.680,-11.400,13.680,15.960,-9.120,13.680,0.006768189370632172
12497,0.199895,4.000,5.000,15.000,3.000,6.000,15.000,-11.400,-9.120,13.680,-13.680,-6.840,13.680,0.003384094685316086
12569,0.206597,14.000,6.000,14.000,15.000,5.000,14.000,11.400,-6.840,11.400,13.680,-9.120,11.400,0.02030456873277823
12742,0.208307,2.000,4.000,14.000,1.000,5.000,14.000,-15.960,-11.400,11.400,-18.240,-9.120,11.400,0.016920474047462143
12960,0.204601,2.000,6.000,12.000,1.000,5.000,12.000,-15.960,-6.840,6.840,-18.240,-9.120,6.840,0.003384094685316086
12984,0.207142,18.000,6.000,10.000,17.000,5.000,10.000,20.520,-6.840,2.280,18.240,-9.120,2.280,0.0
13016,0.203031,14.000,5.000,9.000,15.000,6.000,9.000,11.400,-9.120,0.000,13.680,-6.840,0.000,0.013536378741264343
13107,0.203323,6.000,4.000,10.000,7.000,5.000,10.000,-6.840,-11.400,2.280,-4.560,-9.120,2.280,0.0
13449,0.204087,14.000,6.000,6.000,15.000,5.000,6.000,11.400,-6.840,-6.840,13.680,-9.120,-6.840,0.04060913622379303
13644,0.204381,18.000,6.000,4.000,17.000,5.000,4.000,20.520,-6.840,-11.400,18.240,-9.120,-11.400,0.003384094685316086
14488,0.200895,5.000,2.000,15.000,6.000,3.000,15.000,-9.120,-15.960,13.680,-6.840,-13.680,13.680,0.005076142027974129
14634,0.204017,12.000,2.000,14.000,11.000,3.000,14.000,6.840,-15.960,11.400,4.560,-13.680,11.400,0.018612520769238472
15294,0.206906,12.000,2.000,8.000,11.000,3.000,8.000,6.840,-15.960,-2.280,4.560,-13.680,-2.280,0.03722504278024037
15689,0.198660,16.000,3.000,3.000,15.000,4.000,3.000,15.960,-13.680,-13.680,13.680,-11.400,-13.680,0.04568527763088544
15759,0.204940,8.000,2.000,4.000,9.000,3.000,4.000,-2.280,-15.960,-11.400,0.000,-13.680,-11.400,0.04568527887264887
16624,0.205951,2.000,2.000,16.000,1.000,1.000,16.000,-15.960,-15.960,15.960,-18.240,-18.240,15.960,0.023688663418094315
17107,0.205548,2.000,0.000,12.000,3.000,1.000,12.000,-15.960,-20.520,6.840,-13.680,-18.240,6.840,0.01692047342658043
17108,0.203204,3.000,0.000,11.000,4.000,1.000,11.000,-13.680,-20.520,4.560,-11.400,-18.240,4.560,0.0118443313986063
18252,0.203061,14.000,2.000,2.000,13.000,1.000,2.000,11.400,-15.960,-15.960,9.120,-18.240,-15.960,0.003384094685316086
