strut_id,valid_or_not,Unplanned?,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm
10030,,,1.183752,4.000,8.000,2.000,3.000,9.000,2.000,-11.400,-2.280,-15.960,-13.680,0.000,-15.960
10298,,,1.187436,1.000,6.000,17.000,1.000,7.000,16.000,-18.240,-6.840,18.240,-18.240,-4.560,15.960
10948,,,1.179489,1.000,6.000,11.000,2.000,7.000,11.000,-18.240,-6.840,4.560,-15.960,-4.560,4.560
11650,,,1.186413,16.000,6.000,2.000,16.000,7.000,3.000,15.960,-6.840,-15.960,15.960,-4.560,-13.680
11766,,,1.179806,4.000,8.000,2.000,5.000,8.000,3.000,-11.400,-2.280,-15.960,-9.120,-2.280,-13.680
11791,,,1.188299,4.000,8.000,2.000,3.000,8.000,3.000,-11.400,-2.280,-15.960,-13.680,-2.280,-13.680
11793,,,1.187002,4.000,8.000,2.000,4.000,7.000,3.000,-11.400,-2.280,-15.960,-11.400,-4.560,-13.680
11851,,,1.185828,16.000,6.000,2.000,17.000,7.000,2.000,15.960,-6.840,-15.960,18.240,-4.560,-15.960
11875,,,1.187678,16.000,6.000,2.000,16.000,7.000,1.000,15.960,-6.840,-15.960,15.960,-4.560,-18.240
11878,,,1.187072,16.000,6.000,2.000,15.000,7.000,2.000,15.960,-6.840,-15.960,13.680,-4.560,-15.960
11963,,,1.184145,8.000,6.000,2.000,9.000,7.000,2.000,-2.280,-6.840,-15.960,0.000,-4.560,-15.960
11984,,,1.180886,8.000,8.000,2.000,8.000,7.000,1.000,-2.280,-2.280,-15.960,-2.280,-4.560,-18.240
12009,,,1.185183,4.000,8.000,2.000,5.000,8.000,1.000,-11.400,-2.280,-15.960,-9.120,-2.280,-18.240
12017,,,1.180987,4.000,8.000,2.000,5.000,7.000,2.000,-11.400,-2.280,-15.960,-9.120,-4.560,-15.960
12036,,,1.184112,4.000,8.000,2.000,3.000,8.000,1.000,-11.400,-2.280,-15.960,-13.680,-2.280,-18.240
12040,,,1.185716,4.000,8.000,2.000,4.000,7.000,1.000,-11.400,-2.280,-15.960,-11.400,-4.560,-18.240
12044,,,1.189279,4.000,8.000,2.000,3.000,7.000,2.000,-11.400,-2.280,-15.960,-13.680,-4.560,-15.960
12281,,,1.186084,2.000,5.000,17.000,3.000,5.000,16.000,-15.960,-9.120,18.240,-13.680,-9.120,15.960
12286,,,1.187474,3.000,4.000,17.000,3.000,5.000,16.000,-13.680,-11.400,18.240,-13.680,-9.120,15.960
12488,,,1.185000,4.000,6.000,16.000,4.000,5.000,15.000,-11.400,-6.840,15.960,-11.400,-9.120,13.680
12619,,,1.188284,10.000,4.000,14.000,11.000,5.000,14.000,2.280,-11.400,11.400,4.560,-9.120,11.400
12639,,,1.187200,10.000,4.000,14.000,10.000,5.000,13.000,2.280,-11.400,11.400,2.280,-9.120,9.120
12709,,,1.183351,4.000,6.000,12.000,4.000,5.000,13.000,-11.400,-6.840,6.840,-11.400,-9.120,9.120
13061,,,1.183618,12.000,5.000,9.000,11.000,6.000,9.000,6.840,-9.120,0.000,4.560,-6.840,0.000
13232,,,1.186485,15.000,4.000,7.000,16.000,5.000,7.000,13.680,-11.400,-4.560,15.960,-9.120,-4.560
13345,,,1.181645,6.000,6.000,6.000,6.000,5.000,7.000,-6.840,-6.840,-6.840,-6.840,-9.120,-4.560
13452,,,1.178947,15.000,4.000,5.000,16.000,5.000,5.000,13.680,-11.400,-9.120,15.960,-9.120,-9.120
13638,,,1.187850,16.000,6.000,2.000,17.000,6.000,3.000,15.960,-6.840,-15.960,18.240,-6.840,-13.680
13663,,,1.186667,16.000,6.000,2.000,15.000,6.000,3.000,15.960,-6.840,-15.960,13.680,-6.840,-13.680
13665,,,1.186933,16.000,6.000,2.000,16.000,5.000,3.000,15.960,-6.840,-15.960,15.960,-9.120,-13.680
13857,,,1.190641,16.000,6.000,2.000,17.000,6.000,1.000,15.960,-6.840,-15.960,18.240,-6.840,-18.240
13865,,,1.186610,16.000,6.000,2.000,17.000,5.000,2.000,15.960,-6.840,-15.960,18.240,-9.120,-15.960
13884,,,1.183899,16.000,6.000,2.000,15.000,6.000,1.000,15.960,-6.840,-15.960,13.680,-6.840,-18.240
13888,,,1.191468,16.000,6.000,2.000,16.000,5.000,1.000,15.960,-6.840,-15.960,15.960,-9.120,-18.240
13892,,,1.186844,16.000,6.000,2.000,15.000,5.000,2.000,15.960,-6.840,-15.960,13.680,-9.120,-15.960
14119,,,1.183084,18.000,2.000,18.000,18.000,3.000,17.000,20.520,-15.960,20.520,20.520,-13.680,18.240
14210,,,1.186010,8.000,4.000,16.000,9.000,4.000,17.000,-2.280,-11.400,15.960,0.000,-11.400,18.240
14296,,,1.183410,2.000,3.000,17.000,3.000,4.000,17.000,-15.960,-13.680,18.240,-13.680,-11.400,18.240
14297,,,1.185849,2.000,3.000,17.000,3.000,3.000,16.000,-15.960,-13.680,18.240,-13.680,-13.680,15.960
14576,,,1.187055,16.000,4.000,14.000,15.000,4.000,13.000,15.960,-11.400,11.400,13.680,-11.400,9.120
14625,,,1.185125,10.000,4.000,14.000,11.000,4.000,13.000,2.280,-11.400,11.400,4.560,-11.400,9.120
14637,,,1.183191,12.000,3.000,13.000,11.000,4.000,13.000,6.840,-13.680,9.120,4.560,-11.400,9.120
14885,,,0.201491,8.000,3.000,11.000,9.000,3.000,10.000,-2.280,-13.680,4.560,0.000,-13.680,2.280
15079,,,0.206344,12.000,3.000,9.000,11.000,3.000,10.000,6.840,-13.680,0.000,4.560,-13.680,2.280
15105,,,0.207637,8.000,3.000,9.000,9.000,3.000,8.000,-2.280,-13.680,0.000,0.000,-13.680,-2.280
15386,,,1.187727,4.000,2.000,6.000,4.000,3.000,7.000,-11.400,-15.960,-6.840,-11.400,-13.680,-4.560
15629,,,1.182369,2.000,4.000,4.000,2.000,3.000,5.000,-15.960,-11.400,-11.400,-15.960,-13.680,-9.120
15712,,,1.178715,13.000,2.000,3.000,14.000,3.000,3.000,9.120,-15.960,-13.680,11.400,-13.680,-13.680
15939,,,1.178774,12.000,2.000,2.000,13.000,3.000,2.000,6.840,-15.960,-15.960,9.120,-13.680,-15.960
16714,,,0.208568,14.000,1.000,13.000,13.000,1.000,12.000,11.400,-18.240,9.120,9.120,-18.240,6.840
16820,,,1.183965,6.000,2.000,14.000,5.000,1.000,14.000,-6.840,-15.960,11.400,-9.120,-18.240,11.400
17007,,,1.186945,11.000,2.000,11.000,11.000,1.000,10.000,4.560,-15.960,4.560,4.560,-18.240,2.280
17562,,,1.186417,8.000,0.000,8.000,7.000,1.000,8.000,-2.280,-20.520,-2.280,-4.560,-18.240,-2.280
17607,,,1.185930,4.000,2.000,6.000,3.000,2.000,7.000,-11.400,-15.960,-6.840,-13.680,-15.960,-4.560
17855,,,1.186498,5.000,2.000,5.000,5.000,1.000,6.000,-9.120,-15.960,-9.120,-9.120,-18.240,-6.840
18200,,,1.184597,16.000,1.000,1.000,17.000,2.000,1.000,15.960,-18.240,-18.240,18.240,-15.960,-18.240
,,
