strut_id,midpoint_surface_gap_mm,x0_json,y0_json,z0_json,x1_json,y1_json,z1_json,x0_stl_mm,y0_stl_mm,z0_stl_mm,x1_stl_mm,y1_stl_mm,z1_stl_mm,x0_ct,y0_ct,z0_ct,x1_ct,y1_ct,z1_ct,x_mid_ct,y_mid_ct,z_mid_ct
4925,1.183287,0.000,9.000,5.000,1.000,9.000,4.000,-20.520,0.000,-9.120,-18.240,0.000,-11.400,60.987,408.123,222.922,100.507,407.813,183.466,80.747,407.968,203.194
5306,1.187986,14.000,12.000,6.000,14.000,11.000,5.000,11.400,6.840,-6.840,11.400,4.560,-9.120,614.393,523.886,262.541,614.225,484.288,223.161,614.309,504.087,242.851
6301,1.185930,4.000,2.000,6.000,3.000,2.000,7.000,-11.400,-15.960,-6.840,-13.680,-15.960,-4.560,217.502,131.012,263.306,177.981,131.323,302.762,197.741,131.168,283.034
6320,1.187727,4.000,2.000,6.000,4.000,3.000,7.000,-11.400,-15.960,-6.840,-11.400,-13.680,-4.560,217.502,131.012,263.306,217.670,170.610,302.685,217.586,150.811,282.996
6565,1.181645,6.000,6.000,6.000,6.000,5.000,7.000,-6.840,-6.840,-6.840,-6.840,-9.120,-4.560,297.282,288.563,262.934,297.049,249.185,302.532,297.165,268.874,282.733
6676,1.186485,15.000,4.000,7.000,16.000,5.000,7.000,13.680,-11.400,-4.560,15.960,-9.120,-4.560,652.242,207.889,302.936,691.931,247.177,302.860,672.087,227.533,302.898
6997,1.187985,5.000,8.000,7.000,5.000,9.000,8.000,-9.120,-2.280,-4.560,-9.120,0.000,-2.280,258.163,367.850,302.172,258.332,407.448,341.551,258.247,387.649,321.862
7022,1.180971,7.000,10.000,7.000,7.000,9.000,8.000,-4.560,2.280,-4.560,-4.560,0.000,-2.280,337.541,446.425,302.019,337.308,407.046,341.617,337.425,426.735,321.818
7041,1.188291,10.000,9.000,7.000,9.000,10.000,7.000,2.280,0.000,-4.560,0.000,2.280,-4.560,455.805,406.334,302.226,416.518,446.023,302.084,436.162,426.179,302.155
7297,1.187687,12.000,12.000,6.000,12.000,11.000,7.000,6.840,6.840,-6.840,6.840,4.560,-4.560,535.417,524.288,262.475,535.184,484.909,302.073,535.300,504.598,282.274
7510,1.188070,11.000,14.000,7.000,11.000,13.000,8.000,4.560,11.400,-4.560,4.560,9.120,-2.280,496.298,603.574,301.713,496.065,564.195,341.311,496.181,583.885,321.512
7672,1.187480,6.000,15.000,7.000,7.000,15.000,8.000,-6.840,13.680,-4.560,-4.560,13.680,-2.280,299.057,644.066,301.440,338.514,643.975,340.961,318.785,644.021,321.201
7828,1.184024,2.000,17.000,7.000,1.000,17.000,6.000,-15.960,18.240,-4.560,-18.240,18.240,-6.840,141.506,723.846,301.091,102.050,723.937,261.569,121.778,723.891,281.330
8137,1.186417,8.000,0.000,8.000,7.000,1.000,8.000,-2.280,-20.520,-2.280,-4.560,-18.240,-2.280,374.989,51.452,342.633,335.701,91.141,342.491,355.345,71.296,342.562
8641,1.183618,12.000,5.000,9.000,11.000,6.000,9.000,6.840,-9.120,0.000,4.560,-6.840,0.000,533.914,248.199,381.706,494.627,287.888,381.564,514.270,268.043,381.635
9602,1.184559,17.000,14.000,9.000,17.000,13.000,10.000,18.240,11.400,0.000,18.240,9.120,2.280,733.163,602.588,380.886,732.930,563.209,420.484,733.047,582.899,400.685
10011,1.186163,12.000,17.000,9.000,13.000,16.000,9.000,6.840,18.240,0.000,9.120,15.960,0.000,536.325,722.057,380.395,575.612,682.368,380.537,555.968,702.212,380.466
10223,1.186945,11.000,2.000,11.000,11.000,1.000,10.000,4.560,-15.960,4.560,4.560,-18.240,2.280,493.759,130.154,460.978,493.590,90.556,421.599,493.674,110.355,441.289
10760,1.179489,1.000,6.000,11.000,2.000,7.000,11.000,-18.240,-6.840,4.560,-15.960,-4.560,4.560,99.679,290.114,460.214,139.369,329.402,460.138,119.524,309.758,460.176
11142,1.184588,14.000,9.000,11.000,15.000,10.000,11.000,11.400,0.000,4.560,13.680,2.280,4.560,613.630,405.969,460.312,653.319,445.256,460.235,633.474,425.612,460.273
11285,1.182304,10.000,10.000,10.000,9.000,10.000,11.000,2.280,2.280,2.280,0.000,2.280,4.560,455.910,446.151,420.583,416.389,446.461,460.039,436.149,446.306,440.311
11449,1.185072,6.000,12.000,10.000,5.000,13.000,10.000,-6.840,6.840,2.280,-9.120,9.120,2.280,298.358,525.930,420.234,259.071,565.619,420.092,278.715,545.774,420.163
11564,1.186348,13.000,12.000,11.000,14.000,13.000,11.000,9.120,6.840,4.560,11.400,9.120,4.560,574.744,524.634,459.951,614.433,563.921,459.875,594.589,544.278,459.913
11575,1.189382,14.000,12.000,12.000,14.000,13.000,11.000,11.400,6.840,6.840,11.400,9.120,4.560,614.200,524.542,499.473,614.433,563.921,459.875,614.317,544.232,479.674
12250,0.617978,12.000,0.000,14.000,13.000,0.000,13.000,6.840,-20.520,11.400,9.120,-20.520,9.120,532.749,51.305,579.695,572.269,50.995,540.240,552.509,51.150,559.967
12453,1.183191,12.000,3.000,13.000,11.000,4.000,13.000,6.840,-13.680,9.120,4.560,-11.400,9.120,533.384,169.660,539.879,494.096,209.349,539.737,513.740,189.505,539.808
12589,1.183351,4.000,6.000,12.000,4.000,5.000,13.000,-11.400,-6.840,6.840,-11.400,-9.120,9.120,218.112,289.622,499.801,217.879,250.243,539.399,217.996,269.932,519.600
12663,1.187200,10.000,4.000,14.000,10.000,5.000,13.000,2.280,-11.400,11.400,2.280,-9.120,9.120,454.576,209.659,579.193,454.809,249.038,539.595,454.692,229.349,559.394
12666,1.185125,10.000,4.000,14.000,11.000,4.000,13.000,2.280,-11.400,11.400,4.560,-11.400,9.120,454.576,209.659,579.193,494.096,209.349,539.737,474.336,209.504,559.465
12715,1.187055,16.000,4.000,14.000,15.000,4.000,13.000,15.960,-11.400,11.400,13.680,-11.400,9.120,691.505,208.454,579.389,652.049,208.546,539.868,671.777,208.500,559.629
13236,1.184642,4.000,11.000,13.000,3.000,11.000,12.000,-11.400,4.560,9.120,-13.680,4.560,6.840,219.084,487.172,538.743,179.628,487.263,499.222,199.356,487.217,518.983
13461,1.186224,3.000,12.000,13.000,3.000,13.000,14.000,-13.680,6.840,9.120,-13.680,9.120,11.400,179.797,526.861,538.601,179.966,566.458,577.981,179.881,546.659,558.291
13635,1.184048,17.000,14.000,13.000,17.000,13.000,12.000,18.240,11.400,9.120,18.240,9.120,6.840,733.035,603.026,538.841,732.866,563.428,499.462,732.950,583.227,519.151
14123,0.723712,2.000,0.000,16.000,1.000,0.000,15.000,-15.960,-20.520,15.960,-18.240,-20.520,13.680,137.802,53.532,658.345,98.345,53.623,618.824,118.073,53.578,638.585
14162,1.183965,6.000,2.000,14.000,5.000,1.000,14.000,-6.840,-15.960,11.400,-9.120,-18.240,11.400,296.221,131.486,579.281,256.532,92.199,579.357,276.376,111.842,579.319
14606,1.185000,4.000,6.000,16.000,4.000,5.000,15.000,-11.400,-6.840,15.960,-11.400,-9.120,13.680,217.983,290.059,657.755,217.815,250.462,618.376,217.899,270.260,638.066
14672,1.188284,10.000,4.000,14.000,11.000,5.000,14.000,2.280,-11.400,11.400,4.560,-9.120,11.400,454.576,209.659,579.193,494.265,248.947,579.116,474.420,229.303,579.155
15056,1.186899,6.000,9.000,15.000,5.000,9.000,14.000,-6.840,0.000,13.680,-9.120,0.000,11.400,297.595,408.013,618.005,258.139,408.104,578.483,277.867,408.058,598.244
15818,1.178895,13.000,16.000,15.000,13.000,15.000,16.000,9.120,15.960,13.680,9.120,13.680,15.960,575.419,683.024,617.469,575.186,643.645,657.067,575.302,663.335,637.268
15825,1.178769,14.000,16.000,14.000,14.000,15.000,15.000,11.400,15.960,11.400,11.400,13.680,13.680,614.939,682.714,578.013,614.706,643.335,617.611,614.823,663.024,597.812
15866,1.186024,18.000,15.000,15.000,17.000,15.000,16.000,20.520,13.680,13.680,18.240,13.680,15.960,772.660,642.532,617.742,733.139,642.842,657.198,752.899,642.687,637.470
15905,1.141684,2.000,18.000,14.000,2.000,17.000,15.000,-15.960,20.520,11.400,-15.960,18.240,13.680,141.482,764.100,577.402,141.249,724.721,617.000,141.365,744.410,597.201
15965,1.184408,8.000,16.000,14.000,7.000,16.000,15.000,-2.280,15.960,11.400,-4.560,15.960,13.680,378.010,683.919,577.817,338.489,684.229,617.273,358.250,684.074,597.545
16429,1.185849,2.000,3.000,17.000,3.000,3.000,16.000,-15.960,-13.680,18.240,-13.680,-13.680,15.960,138.372,172.106,697.506,177.892,171.796,658.050,158.132,171.951,677.778
16430,1.183410,2.000,3.000,17.000,3.000,4.000,17.000,-15.960,-13.680,18.240,-13.680,-11.400,18.240,138.372,172.106,697.506,178.061,211.393,697.430,158.217,191.749,697.468
16622,1.183084,18.000,2.000,18.000,18.000,3.000,17.000,20.520,-15.960,20.520,20.520,-13.680,18.240,769.952,129.514,737.628,770.185,168.893,698.030,770.068,149.204,717.829
16685,1.186084,2.000,5.000,17.000,3.000,5.000,16.000,-15.960,-9.120,18.240,-13.680,-9.120,15.960,138.774,251.082,697.288,178.294,250.772,657.832,158.534,250.927,677.560
16691,1.187474,3.000,4.000,17.000,3.000,5.000,16.000,-13.680,-11.400,18.240,-13.680,-9.120,15.960,178.061,211.393,697.430,178.294,250.772,657.832,178.178,231.082,677.631
16764,1.186010,8.000,4.000,16.000,9.000,4.000,17.000,-2.280,-11.400,15.960,0.000,-11.400,18.240,375.535,210.280,658.105,414.991,210.188,697.626,395.263,210.234,677.866
16919,1.187436,1.000,6.000,17.000,1.000,7.000,16.000,-18.240,-6.840,18.240,-18.240,-4.560,15.960,99.486,290.771,697.146,99.719,330.150,657.548,99.603,310.460,677.347
17455,1.182966,2.000,11.000,17.000,3.000,10.000,17.000,-15.960,4.560,18.240,-13.680,2.280,18.240,139.979,488.011,696.632,179.266,448.322,696.774,159.623,468.166,696.703
17588,1.183570,12.000,10.000,16.000,13.000,10.000,17.000,6.840,2.280,15.960,9.120,2.280,18.240,534.693,446.405,657.580,574.149,446.314,697.102,554.421,446.360,677.341
17857,1.184470,13.000,12.000,17.000,13.000,13.000,18.000,9.120,6.840,18.240,9.120,9.120,20.520,574.551,525.290,696.883,574.720,564.888,736.263,574.635,545.089,716.573
18199,1.187583,0.000,17.000,17.000,1.000,16.000,17.000,-20.520,18.240,18.240,-18.240,15.960,18.240,62.208,725.341,695.912,101.495,685.652,696.054,81.852,705.497,695.983
18438,1.185886,18.000,16.000,18.000,17.000,17.000,18.000,20.520,15.960,20.520,18.240,18.240,20.520,772.764,682.348,736.098,733.477,722.037,735.956,753.120,702.193,736.027
