strut_id,defect_class,touches_excluded_nominal_plane,excluded_nominal_axis,excluded_nominal_value,x0_nominal,y0_nominal,z0_nominal,x1_nominal,y1_nominal,z1_nominal,same_material_component_connects_a_to_b,a_collar_foreground_fraction,b_collar_foreground_fraction,endpoint0_to_collar_component_voxel_count_in_corridor,endpoint1_to_collar_component_voxel_count_in_corridor,minimum_endpoint_to_collar_component_voxel_count_in_corridor,central_material_slice_fraction,a_side_material_slice_fraction,b_side_material_slice_fraction,longest_empty_run_slices,central_mean_foreground_fraction,central_reference_foreground_fraction_p90,central_minimum_foreground_fraction,central_minimum_smoothed_foreground_fraction,central_minimum_relative_to_reference,central_material_loss_fraction,central_deficit_cutoff_foreground_fraction,central_deficit_fraction,longest_deficit_run_samples,minimum_endpoint_collar_foreground_fraction,both_endpoint_segments_observed,reasons
3815,broken,False,y,18.0,4.0,16.0,4.0,3.0,16.0,3.0,False,0.300884955752,0.296460176991,2094,1791,1791,0.9090909090909091,1.0,0.7272727272727273,3,0.19683561276481631,0.2902654867256637,0.0,0.017699115044247787,0.06097560975609756,0.3253880266075388,0.14513274336283186,0.24242424242424243,8,0.296460176991,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
3954,broken,False,y,18.0,12.0,16.0,4.0,13.0,16.0,3.0,False,0.101769911504,0.398230088496,1555,2513,1555,0.9090909090909091,0.7272727272727273,1.0,3,0.2252614641995173,0.35221238938053095,0.017699115044247787,0.035398230088495575,0.10050251256281408,0.3671387239226436,0.17610619469026548,0.24242424242424243,8,0.101769911504,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
4041,broken,False,y,18.0,2.0,0.0,4.0,1.0,0.0,5.0,False,0.314159292035,0.265486725664,2006,1619,1619,0.9117647058823529,1.0,0.7272727272727273,3,0.15825091098386257,0.28053097345132744,0.0,0.017699115044247787,0.06309148264984227,0.4453516422341807,0.14026548672566372,0.5,14,0.265486725664,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
4050,broken,False,y,18.0,2.0,1.0,5.0,1.0,1.0,6.0,False,0.327433628319,0.261061946903,2099,1665,1665,0.9090909090909091,1.0,0.7272727272727273,3,0.14910163582729957,0.23893805309734514,0.008849557522123894,0.02064896755162242,0.08641975308641975,0.3872053872053872,0.11946902654867257,0.2727272727272727,9,0.261061946903,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
4090,broken,False,y,18.0,4.0,0.0,6.0,5.0,0.0,5.0,False,0.221238938053,0.309734513274,1489,1953,1489,0.9411764705882353,0.8181818181818182,1.0,2,0.19859448204060384,0.2929203539823009,0.0,0.02064896755162242,0.07049345417925479,0.32699484627687925,0.14646017699115044,0.20588235294117646,4,0.221238938053,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
4221,broken,False,y,18.0,15.0,0.0,5.0,15.0,1.0,6.0,False,0.185840707965,0.0796460176991,1604,1670,1604,0.42424242424242425,1.0,0.0,19,0.06784660766961652,0.168141592920354,0.0,0.0,0.0,0.6124401913875598,0.084070796460177,0.6060606060606061,20,0.0796460176991,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
4340,broken,False,y,18.0,8.0,3.0,5.0,7.0,3.0,4.0,False,0.305309734513,0.150442477876,2130,1523,1523,0.7878787878787878,1.0,0.36363636363636365,7,0.13703405738803967,0.26548672566371684,0.0,0.0,0.0,0.4909090909090909,0.13274336283185842,0.5454545454545454,18,0.150442477876,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
4610,broken,False,y,18.0,12.0,5.0,5.0,11.0,5.0,6.0,False,0.33185840708,0.176991150442,2254,1562,1562,0.7878787878787878,1.0,0.36363636363636365,7,0.1756503083936712,0.2973451327433629,0.0,0.0029498525073746312,0.009920634920634918,0.4215367965367966,0.14867256637168144,0.45454545454545453,15,0.176991150442,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
4923,broken,False,y,18.0,2.0,8.0,6.0,1.0,8.0,5.0,False,0.200589970501,0.283185840708,1563,1980,1563,0.6764705882352942,0.2727272727272727,1.0,11,0.14445601249349296,0.2920353982300885,0.0,0.0,0.0,0.5106951871657754,0.14601769911504425,0.47058823529411764,16,0.200589970501,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
4976,broken,False,y,18.0,6.0,9.0,5.0,5.0,9.0,4.0,False,0.20796460177,0.309734513274,1642,2143,1642,0.7575757575757576,0.2727272727272727,1.0,8,0.15795119334942345,0.2991150442477876,0.0,0.0058997050147492625,0.01972386587771203,0.4816209431594048,0.1495575221238938,0.45454545454545453,15,0.20796460177,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
5116,broken,False,y,18.0,16.0,8.0,4.0,17.0,8.0,5.0,False,0.371681415929,0.216814159292,2173,1663,1663,0.7575757575757576,1.0,0.2727272727272727,8,0.16787342451059262,0.3380530973451327,0.0,0.0,0.0,0.5146755513247658,0.16902654867256636,0.5757575757575758,19,0.216814159292,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
5140,broken,False,y,18.0,0.0,10.0,4.0,1.0,10.0,5.0,False,0.29203539823,0.314159292035,1648,1789,1648,0.7878787878787878,1.0,0.6363636363636364,7,0.16840976133011532,0.2814159292035398,0.0,0.0,0.0,0.40804269106155894,0.1407079646017699,0.3333333333333333,11,0.29203539823,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
5386,broken,False,y,18.0,2.0,12.0,6.0,3.0,12.0,5.0,False,0.371681415929,0.367256637168,1741,2309,1741,0.8787878787878788,0.6363636363636364,1.0,4,0.21024403325288282,0.3504424778761062,0.0,0.011799410029498525,0.03367003367003367,0.40281603917967557,0.1752212389380531,0.3939393939393939,13,0.367256637168,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
5564,broken,False,y,18.0,18.0,13.0,5.0,17.0,13.0,4.0,False,0.190265486726,0.274336283186,1317,2116,1317,0.7878787878787878,0.36363636363636365,1.0,7,0.16626441405202466,0.26548672566371684,0.0,0.0029498525073746312,0.01111111111111111,0.37878787878787884,0.13274336283185842,0.36363636363636365,12,0.190265486726,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
6203,broken,False,y,18.0,14.0,0.0,8.0,13.0,0.0,7.0,False,0.230088495575,0.221238938053,1847,1737,1737,0.9393939393939394,1.0,1.0,2,0.21319388576025744,0.2814159292035398,0.0,0.029498525073746312,0.10482180293501049,0.24985706117781584,0.1407079646017699,0.15151515151515152,5,0.221238938053,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
6254,broken,False,y,18.0,16.0,0.0,8.0,17.0,0.0,7.0,False,0.278761061947,0.323008849558,1540,1803,1540,0.5757575757575758,0.5454545454545454,1.0,14,0.12872083668543846,0.32389380530973455,0.0,0.0,0.0,0.6113594966053982,0.16194690265486728,0.5757575757575758,19,0.278761061947,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
6265,broken,False,y,18.0,17.0,0.0,7.0,17.0,1.0,8.0,False,0.0619469026549,0.20796460177,1334,2046,1334,0.5,0.0,1.0,17,0.09734513274336283,0.21238938053097345,0.0,0.0,0.0,0.5477941176470588,0.10619469026548672,0.5294117647058824,18,0.0619469026549,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
6356,broken,False,y,18.0,8.0,3.0,7.0,7.0,3.0,6.0,False,0.287610619469,0.367256637168,1733,2114,1733,0.8787878787878788,0.6363636363636364,1.0,4,0.19039957093054438,0.34513274336283184,0.0,0.0029498525073746312,0.008547008547008548,0.4514374514374514,0.17256637168141592,0.48484848484848486,16,0.287610619469,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
6482,broken,False,y,18.0,18.0,3.0,7.0,17.0,3.0,8.0,False,0.247787610619,0.070796460177,1776,1512,1512,0.8484848484848485,1.0,0.5454545454545454,5,0.15714668812013943,0.24778761061946902,0.0,0.0,0.0,0.3701298701298701,0.12389380530973451,0.3333333333333333,11,0.070796460177,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
6692,broken,False,y,18.0,16.0,4.0,6.0,17.0,4.0,7.0,False,0.314159292035,0.0575221238938,2265,1533,1533,0.7575757575757576,1.0,0.2727272727272727,8,0.1898632341110217,0.30973451327433627,0.0,0.0,0.0,0.3896103896103896,0.15486725663716813,0.3939393939393939,13,0.0575221238938,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
6916,broken,False,y,18.0,16.0,7.0,7.0,17.0,7.0,8.0,False,0.261061946903,0.0929203539823,2126,1594,1594,0.7272727272727273,1.0,0.18181818181818182,9,0.1563421828908554,0.26371681415929205,0.0,0.0,0.0,0.41102298149278016,0.13185840707964602,0.3939393939393939,13,0.0929203539823,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
7280,broken,False,y,18.0,10.0,11.0,7.0,11.0,11.0,8.0,False,0.336283185841,0.274336283186,2162,1736,1736,0.9090909090909091,1.0,0.7272727272727273,3,0.21399839098954143,0.30973451327433627,0.0,0.02654867256637168,0.08571428571428572,0.316017316017316,0.15486725663716813,0.2727272727272727,8,0.274336283186,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
7304,broken,False,y,18.0,12.0,11.0,7.0,13.0,11.0,8.0,False,0.41592920354,0.323008849558,1912,2348,1912,0.9696969696969697,0.9090909090909091,1.0,1,0.28077232502011257,0.4353982300884956,0.008849557522123894,0.07079646017699115,0.16260162601626016,0.3663463907366346,0.2176991150442478,0.15151515151515152,5,0.323008849558,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
7404,broken,False,y,18.0,2.0,13.0,7.0,3.0,13.0,8.0,False,0.358407079646,0.33185840708,1817,2288,1817,0.8484848484848485,0.5454545454545454,1.0,5,0.22257978010190402,0.36283185840707965,0.0,0.0,0.0,0.3902439024390244,0.18141592920353983,0.3333333333333333,10,0.33185840708,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8121,broken,False,y,18.0,6.0,0.0,8.0,5.0,0.0,9.0,False,0.309734513274,0.300884955752,1773,1640,1640,0.696969696969697,1.0,0.5454545454545454,10,0.13569321533923304,0.2902654867256637,0.0,0.0,0.0,0.5378787878787878,0.14513274336283186,0.5454545454545454,18,0.300884955752,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8137,broken,False,y,18.0,8.0,0.0,8.0,7.0,1.0,8.0,False,0.203539823009,0.119469026549,1838,1517,1517,0.9090909090909091,1.0,0.7272727272727273,3,0.14802896218825423,0.18407079646017702,0.0,0.014749262536873156,0.08012820512820512,0.20134032634032642,0.09203539823008851,0.12121212121212122,4,0.119469026549,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8140,broken,False,y,18.0,6.0,0.0,8.0,6.0,1.0,9.0,False,0.212389380531,0.146017699115,1891,1608,1608,0.9393939393939394,1.0,0.8181818181818182,2,0.16519174041297938,0.21061946902654868,0.0,0.017699115044247787,0.08403361344537814,0.21670486376368733,0.10530973451327434,0.12121212121212122,4,0.146017699115,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8146,broken,False,y,18.0,6.0,0.0,10.0,7.0,0.0,9.0,False,0.243362831858,0.247787610619,1620,1613,1613,0.7647058823529411,1.0,1.0,8,0.1179073399271213,0.20442477876106194,0.0,0.0029498525073746312,0.01443001443001443,0.4354469060351413,0.10221238938053097,0.4117647058823529,14,0.243362831858,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8151,broken,False,y,18.0,6.0,1.0,9.0,7.0,0.0,9.0,False,0.16814159292,0.176991150442,1620,1775,1620,0.8823529411764706,0.6363636363636364,1.0,4,0.1441957313899011,0.1920353982300885,0.0,0.0,0.0,0.2588777446462456,0.09601769911504425,0.14705882352941177,5,0.16814159292,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8175,broken,False,y,18.0,8.0,1.0,9.0,9.0,0.0,9.0,False,0.110619469027,0.154867256637,1457,1778,1457,0.8823529411764706,0.6363636363636364,1.0,4,0.1277980218636127,0.168141592920354,0.0,0.008849557522123894,0.05263157894736842,0.24922600619195046,0.084070796460177,0.17647058823529413,6,0.110619469027,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8181,broken,False,y,18.0,9.0,0.0,9.0,9.0,1.0,10.0,False,0.190265486726,0.176991150442,1756,1522,1522,0.8235294117647058,1.0,0.45454545454545453,6,0.13378448724622594,0.19469026548672566,0.0,0.0,0.0,0.3168449197860963,0.09734513274336283,0.20588235294117646,7,0.176991150442,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8258,broken,False,y,18.0,18.0,2.0,8.0,17.0,1.0,8.0,False,0.234513274336,0.070796460177,1763,1494,1494,0.8125,1.0,0.4,6,0.16952433628318586,0.23893805309734514,0.0,0.0,0.0,0.3020833333333333,0.11946902654867257,0.21875,7,0.070796460177,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8477,broken,False,y,18.0,18.0,2.0,8.0,17.0,3.0,8.0,False,0.129793510324,0.200589970501,1427,1656,1427,0.8787878787878788,1.0,0.6363636363636364,4,0.12684365781710913,0.17699115044247787,0.0,0.0058997050147492625,0.03333333333333333,0.29090909090909084,0.08849557522123894,0.15151515151515152,5,0.129793510324,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8484,broken,False,y,18.0,18.0,2.0,8.0,18.0,3.0,9.0,False,0.146017699115,0.132743362832,1315,1511,1315,0.8529411764705882,1.0,1.0,5,0.14029151483602292,0.20088495575221238,0.0,0.0,0.0,0.30577869914485617,0.10044247787610619,0.20588235294117646,7,0.132743362832,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8616,broken,False,y,18.0,10.0,5.0,9.0,9.0,5.0,8.0,False,0.305309734513,0.340707964602,2193,1712,1712,0.8181818181818182,1.0,0.45454545454545453,6,0.19066773934030573,0.3256637168141593,0.0,0.0029498525073746312,0.009057971014492754,0.41930171277997363,0.16283185840707964,0.45454545454545453,15,0.305309734513,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8956,broken,False,y,18.0,0.0,9.0,9.0,1.0,9.0,10.0,False,0.269911504425,0.0929203539823,1735,1465,1465,0.6666666666666666,1.0,0.09090909090909091,11,0.13086618396352911,0.25486725663716814,0.0,0.0,0.0,0.4957912457912458,0.12743362831858407,0.45454545454545453,15,0.0929203539823,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
8976,broken,False,y,18.0,2.0,8.0,8.0,3.0,8.0,9.0,False,0.362831858407,0.289085545723,2205,1634,1634,0.7647058823529411,1.0,0.2727272727272727,8,0.18870380010411245,0.3663716814159292,0.0,0.0,0.0,0.49161693662972433,0.1831858407079646,0.4117647058823529,14,0.289085545723,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
9616,broken,False,y,18.0,0.0,15.0,9.0,1.0,15.0,10.0,False,0.163716814159,0.278761061947,1264,2178,1264,0.8181818181818182,0.45454545454545453,1.0,6,0.17752748726200052,0.30442477876106194,0.0,0.0029498525073746312,0.009689922480620155,0.42424242424242425,0.15221238938053097,0.36363636363636365,12,0.163716814159,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
10112,broken,False,y,18.0,2.0,0.0,10.0,3.0,0.0,11.0,False,0.212389380531,0.261061946903,1730,1638,1638,0.9411764705882353,1.0,1.0,2,0.17386777719937532,0.25398230088495577,0.0,0.029498525073746312,0.11614401858304296,0.3187128509940562,0.12699115044247788,0.29411764705882354,10,0.212389380531,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
10120,broken,False,y,18.0,4.0,1.0,11.0,3.0,1.0,10.0,False,0.389380530973,0.287610619469,1790,2040,1790,0.9117647058823529,0.7272727272727273,1.0,3,0.18167621030713174,0.29557522123893804,0.0,0.008849557522123894,0.029940119760479042,0.4006692497358224,0.14778761061946902,0.38235294117647056,13,0.287610619469,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
10177,broken,False,y,18.0,10.0,0.0,10.0,9.0,1.0,10.0,False,0.181415929204,0.101769911504,1796,1492,1492,0.9090909090909091,1.0,0.7272727272727273,3,0.14293376240278896,0.20353982300884957,0.008849557522123894,0.02359882005899705,0.11594202898550723,0.30171277997364954,0.10176991150442478,0.2727272727272727,8,0.101769911504,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
10215,broken,False,y,18.0,10.0,1.0,11.0,11.0,0.0,11.0,False,0.185840707965,0.154867256637,1583,1685,1583,0.9393939393939394,0.8181818181818182,1.0,2,0.1378385626173237,0.17699115044247787,0.02654867256637168,0.0471976401179941,0.26666666666666666,0.22575757575757574,0.08849557522123894,0.09090909090909091,3,0.154867256637,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
10257,broken,False,y,18.0,16.0,0.0,10.0,15.0,0.0,11.0,False,0.296460176991,0.176991150442,1896,1430,1430,0.6666666666666666,1.0,0.09090909090909091,11,0.12496647894877982,0.27256637168141595,0.0,0.0058997050147492625,0.021645021645021644,0.546241637150728,0.13628318584070798,0.5151515151515151,17,0.176991150442,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
10260,broken,False,y,18.0,14.0,1.0,11.0,15.0,1.0,12.0,False,0.287610619469,0.305309734513,1670,2161,1670,0.8181818181818182,0.45454545454545453,1.0,6,0.15929203539823011,0.25663716814159293,0.0,0.0,0.0,0.3887147335423197,0.12831858407079647,0.42424242424242425,14,0.287610619469,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
10340,broken,False,y,18.0,4.0,3.0,11.0,3.0,3.0,10.0,False,0.287610619469,0.132743362832,2005,1615,1615,0.8181818181818182,1.0,0.45454545454545453,6,0.13301153124161974,0.25486725663716814,0.0,0.0058997050147492625,0.023148148148148147,0.4894781144781145,0.12743362831858407,0.48484848484848486,16,0.132743362832,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
10408,broken,False,y,18.0,8.0,3.0,11.0,9.0,3.0,12.0,False,0.274336283186,0.247787610619,1629,2083,1629,0.7878787878787878,0.36363636363636365,1.0,7,0.15821936175918475,0.2849557522123894,0.0,0.0,0.0,0.4552983248635422,0.1424778761061947,0.42424242424242425,12,0.247787610619,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
10433,broken,False,y,18.0,10.0,3.0,11.0,11.0,3.0,10.0,False,0.309734513274,0.318584070796,1664,2165,1664,0.8787878787878788,0.6363636363636364,1.0,4,0.19200858138911234,0.3185840707964602,0.0,0.0058997050147492625,0.018518518518518517,0.39898989898989895,0.1592920353982301,0.3939393939393939,13,0.309734513274,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
10651,broken,False,y,18.0,12.0,4.0,12.0,11.0,4.0,11.0,False,0.256637168142,0.327433628319,1613,2294,1613,0.7878787878787878,0.36363636363636365,1.0,7,0.2003218020917136,0.336283185840708,0.0,0.0058997050147492625,0.017543859649122806,0.4090909090909091,0.168141592920354,0.3333333333333333,11,0.256637168142,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
11091,broken,False,y,18.0,12.0,8.0,12.0,11.0,8.0,11.0,False,0.314159292035,0.482300884956,2184,1759,1759,0.8787878787878788,1.0,0.6363636363636364,4,0.18771788683293109,0.32389380530973455,0.0,0.0029498525073746312,0.009107468123861566,0.44245736049014744,0.16194690265486728,0.42424242424242425,14,0.314159292035,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
11237,broken,False,y,18.0,6.0,10.0,10.0,5.0,10.0,11.0,False,0.393805309735,0.0884955752212,2511,1581,1581,0.9393939393939394,1.0,0.8181818181818182,2,0.24054706355591313,0.36460176991150445,0.008849557522123894,0.029498525073746312,0.08090614886731391,0.3506913798175934,0.18230088495575222,0.18181818181818182,6,0.0884955752212,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
11801,broken,False,y,18.0,14.0,15.0,11.0,15.0,15.0,10.0,False,0.265486725664,0.278761061947,1616,2267,1616,1.0,1.0,1.0,0,0.21748458031643872,0.2920353982300885,0.05309734513274336,0.07374631268436578,0.2525252525252525,0.2598714416896235,0.14601769911504425,0.15151515151515152,5,0.265486725664,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
12156,broken,False,y,18.0,4.0,1.0,13.0,5.0,1.0,14.0,False,0.12389380531,0.349557522124,1582,2205,1582,0.7575757575757576,0.2727272727272727,1.0,8,0.1700187717886833,0.2920353982300885,0.0,0.0,0.0,0.4288337924701561,0.14601769911504425,0.3939393939393939,13,0.12389380531,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
12352,broken,False,y,18.0,2.0,3.0,13.0,3.0,3.0,14.0,False,0.345132743363,0.300884955752,1783,2001,1783,0.8181818181818182,0.5454545454545454,1.0,6,0.1799410029498525,0.30796460176991153,0.0,0.0,0.0,0.43120863810518983,0.15398230088495576,0.45454545454545453,12,0.300884955752,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
12497,broken,False,y,18.0,14.0,3.0,13.0,15.0,3.0,12.0,False,0.309734513274,0.309734513274,1636,2134,1636,0.7941176470588235,0.36363636363636365,1.0,7,0.16710046850598648,0.2867256637168141,0.0,0.0029498525073746312,0.010288065843621401,0.4248366013071895,0.14336283185840706,0.4117647058823529,14,0.309734513274,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
12569,broken,False,y,18.0,4.0,4.0,12.0,3.0,4.0,13.0,False,0.243362831858,0.159292035398,2214,1569,1569,0.7878787878787878,1.0,0.36363636363636365,7,0.18557253955484043,0.26548672566371684,0.0,0.0029498525073746312,0.01111111111111111,0.31313131313131315,0.13274336283185842,0.2727272727272727,9,0.159292035398,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
12742,broken,False,y,18.0,16.0,4.0,14.0,17.0,4.0,13.0,False,0.265486725664,0.358407079646,1589,2306,1589,0.9090909090909091,0.7272727272727273,1.0,3,0.19790828640386163,0.3345132743362832,0.0,0.014749262536873156,0.04409171075837742,0.4162257495590829,0.1672566371681416,0.3939393939393939,12,0.265486725664,True,central_material_loss_rule_satisfied|endpoint_material_support_observed|disconnected_fragment_case
